"id","title","parentLabel","emotion1","emotion2","emotion3","lifeDomains"
"SIT011","Being pushed during a disagreement","Pushed by another child during play","Angry","Scared","","LIFE_DOMAIN_FRIENDSHIP; LIFE_DOMAIN_COMMUNICATION; LIFE_DOMAIN_PLAY"
"SIT012","No say in what to wear","No say in what you had to wear","Frustrated","","","LIFE_DOMAIN_FAMILY; LIFE_DOMAIN_COMMUNICATION; LIFE_DOMAIN_RESPONSIBILITY"
"SIT013","Adult doesn't understand what they mean","An adult didn't understand what you meant","Frustrated","","","LIFE_DOMAIN_COMMUNICATION; LIFE_DOMAIN_CARING; LIFE_DOMAIN_FAMILY"
"SIT014","Game crashes or internet lags during a win","The game froze right before winning","Frustrated","","","LIFE_DOMAIN_LEARNING; LIFE_DOMAIN_PLAY; LIFE_DOMAIN_RESPONSIBILITY"
"SIT015","Forced to sit still too long (car, flight)","Forced to sit still for a long time","Frustrated","Bored","","LIFE_DOMAIN_FAMILY; LIFE_DOMAIN_PLAY; LIFE_DOMAIN_CREATIVITY"
"SIT016","Game save file corrupted or deleted","A saved game was lost","Frustrated","Sad","","LIFE_DOMAIN_LEARNING; LIFE_DOMAIN_PLAY; LIFE_DOMAIN_BUILDING"
"SIT017","A treat or promise was forgotten","A promised treat was forgotten","Disappointed","Sad","","LIFE_DOMAIN_FAMILY; LIFE_DOMAIN_COMMUNICATION; LIFE_DOMAIN_RESPONSIBILITY"
"SIT018","Sibling tells on them unfairly","A sibling told on you unfairly","Angry","Frustrated","","LIFE_DOMAIN_FAMILY; LIFE_DOMAIN_COMMUNICATION; LIFE_DOMAIN_FRIENDSHIP"
"SIT019","Scratchy clothes","Your clothes felt scratchy and uncomfortable","Frustrated","","","LIFE_DOMAIN_FAMILY; LIFE_DOMAIN_LEARNING"
"SIT020","Repeatedly failing a game level","Kept failing the same game level","Frustrated","","","LIFE_DOMAIN_LEARNING; LIFE_DOMAIN_PLAY; LIFE_DOMAIN_BUILDING"
"SIT021","Darkness or shadows in the room","Scared of the dark","Scared","","","LIFE_DOMAIN_NATURE; LIFE_DOMAIN_FAMILY; LIFE_DOMAIN_COMMUNICATION"
"SIT022","Thunder","Startled by thunder","Scared","","","LIFE_DOMAIN_NATURE; LIFE_DOMAIN_FAMILY; LIFE_DOMAIN_COMMUNICATION"
"SIT023","Monsters under the bed","Thought there was a monster under the bed","Scared","","","LIFE_DOMAIN_CREATIVITY; LIFE_DOMAIN_FAMILY; LIFE_DOMAIN_COMMUNICATION"
"SIT024","Parent leaving for a long trip","A parent leaving for a long trip","Sad","Worried","","LIFE_DOMAIN_FAMILY; LIFE_DOMAIN_COMMUNICATION; LIFE_DOMAIN_CARING"
"SIT025","Fear of going on stage or presenting","Nervous before going on stage","Nervous","","","LIFE_DOMAIN_CREATIVITY; LIFE_DOMAIN_COMMUNICATION; LIFE_DOMAIN_LEARNING"
"SIT026","Anxiety before a big test or result","Anxious before a big test","Nervous","Worried","","LIFE_DOMAIN_LEARNING; LIFE_DOMAIN_RESPONSIBILITY; LIFE_DOMAIN_COMMUNICATION"
"SIT027","Injections at the doctor","Scared of getting a shot at the doctor","Scared","","","LIFE_DOMAIN_FAMILY; LIFE_DOMAIN_CARING; LIFE_DOMAIN_LEARNING"
"SIT028","Unfamiliar adult","Meeting an unfamiliar adult","Unsure","Scared","","LIFE_DOMAIN_SCHOOL; LIFE_DOMAIN_COMMUNICATION; LIFE_DOMAIN_FRIENDSHIP"
"SIT029","Fear of getting lost in a mall or crowd","Got separated from a parent in a crowd","Scared","","","LIFE_DOMAIN_NATURE; LIFE_DOMAIN_COMMUNICATION; LIFE_DOMAIN_CARING"
"SIT030","Accidentally saw a scary or violent video","Accidentally saw something scary online","Scared","","","LIFE_DOMAIN_FAMILY; LIFE_DOMAIN_COMMUNICATION; LIFE_DOMAIN_CREATIVITY"
"SIT031","Heard about war or violence on news","Heard grown-ups talk about war on the news","Worried","Scared","","LIFE_DOMAIN_FAMILY; LIFE_DOMAIN_COMMUNICATION; LIFE_DOMAIN_CARING"
"SIT032","Saw news about floods","Saw news about a flood","Worried","Scared","","LIFE_DOMAIN_NATURE; LIFE_DOMAIN_CARING; LIFE_DOMAIN_LEARNING"
"SIT033","Fear that a parent might get sick","Worried a parent might get sick","Worried","","","LIFE_DOMAIN_FAMILY; LIFE_DOMAIN_CARING; LIFE_DOMAIN_COMMUNICATION"
"SIT034","Overheard adults talking about money problems","Overheard grown-ups worry about money","Worried","","","LIFE_DOMAIN_FAMILY; LIFE_DOMAIN_COMMUNICATION; LIFE_DOMAIN_LEARNING"
"SIT035","Overthinking imaginary future dangers","Can't stop imagining what could go wrong","Worried","","","LIFE_DOMAIN_CREATIVITY; LIFE_DOMAIN_LEARNING; LIFE_DOMAIN_COMMUNICATION"
"SIT036","Fear of being laughed at by class","Afraid the class will laugh at you","Nervous","Scared","","LIFE_DOMAIN_SCHOOL; LIFE_DOMAIN_COMMUNICATION; LIFE_DOMAIN_FRIENDSHIP"
"SIT038","Fear of dogs","Afraid of a dog nearby","Scared","","","LIFE_DOMAIN_NATURE; LIFE_DOMAIN_CARING; LIFE_DOMAIN_LEARNING"
"SIT039","Fear of falling or getting hurt at park","Scared to try again after a fall","Scared","Unsure","","LIFE_DOMAIN_PLAY; LIFE_DOMAIN_LEARNING; LIFE_DOMAIN_CARING"
"SIT040","Fear of getting in trouble with teacher","Worried a teacher will be angry","Worried","Scared","","LIFE_DOMAIN_SCHOOL; LIFE_DOMAIN_RESPONSIBILITY; LIFE_DOMAIN_COMMUNICATION"
"SIT042","Friend doesn't want to play today","A friend didn't want to play with you today","Sad","Left Out","","LIFE_DOMAIN_FRIENDSHIP; LIFE_DOMAIN_COMMUNICATION; LIFE_DOMAIN_PLAY"
"SIT043","Death of a pet","Your pet died","Missing Someone","Sad","","LIFE_DOMAIN_CARING; LIFE_DOMAIN_FAMILY; LIFE_DOMAIN_COMMUNICATION"
"SIT044","Death of a relative or family member","A family member died","Missing Someone","Sad","","LIFE_DOMAIN_FAMILY; LIFE_DOMAIN_COMMUNICATION; LIFE_DOMAIN_CARING"
"SIT045","Lost a favourite toy or comfort blanket","Lost your favourite toy or blanket","Sad","","","LIFE_DOMAIN_NATURE; LIFE_DOMAIN_LEARNING; LIFE_DOMAIN_FAMILY"
"SIT046","Harshly reprimanded by a parent","Harshly scolded by a parent","Sad","Not Good Enough","","LIFE_DOMAIN_FAMILY; LIFE_DOMAIN_COMMUNICATION; LIFE_DOMAIN_RESPONSIBILITY"
"SIT048","Not invited to a birthday party","Not invited to a birthday party","Left Out","Sad","","LIFE_DOMAIN_FRIENDSHIP; LIFE_DOMAIN_CELEBRATIONS; LIFE_DOMAIN_COMMUNICATION"
"SIT049","Falling and deciding whether to try again","Fell down and has to decide whether to try again","Scared","Unsure","","LIFE_DOMAIN_CARING; LIFE_DOMAIN_PLAY; LIFE_DOMAIN_LEARNING"
"SIT050","Missing a parent who travels often","Missing a parent who travels a lot","Sad","Missing Someone","","LIFE_DOMAIN_FAMILY; LIFE_DOMAIN_COMMUNICATION; LIFE_DOMAIN_CREATIVITY"
"SIT051","Close friend moved to another city","A close friend moved away","Sad","Missing Someone","","LIFE_DOMAIN_FRIENDSHIP; LIFE_DOMAIN_COMMUNICATION; LIFE_DOMAIN_CREATIVITY"
"SIT052","Moving house and leaving familiar bedroom","Moving out of your bedroom","Sad","Worried","","LIFE_DOMAIN_FAMILY; LIFE_DOMAIN_BUILDING; LIFE_DOMAIN_COMMUNICATION"
"SIT054","Highly anticipated movie or event cancelled","A big event you were excited for got cancelled","Disappointed","Sad","","LIFE_DOMAIN_FAMILY; LIFE_DOMAIN_CREATIVITY; LIFE_DOMAIN_LEARNING"
"SIT055","Seeing another child cry or suffer","Saw another child crying","Sad","","","LIFE_DOMAIN_CARING; LIFE_DOMAIN_COMMUNICATION; LIFE_DOMAIN_FRIENDSHIP"
"SIT056","Excluded from a group chat","Left out of a group chat","Left Out","","","LIFE_DOMAIN_FRIENDSHIP; LIFE_DOMAIN_COMMUNICATION; LIFE_DOMAIN_SCHOOL"
"SIT057","Not chosen for a special school role","Not picked for a special role at school","Disappointed","Sad","","LIFE_DOMAIN_SCHOOL; LIFE_DOMAIN_LEARNING; LIFE_DOMAIN_COMMUNICATION"
"SIT060","Intentions were good but they got in trouble anyway","Tried to help but ended up in trouble","Sad","Guilty","","LIFE_DOMAIN_RESPONSIBILITY; LIFE_DOMAIN_COMMUNICATION; LIFE_DOMAIN_LEARNING"
"SIT061","Made a mistake in front of the class","Made a mistake in front of the whole class","Embarrassed","","","LIFE_DOMAIN_SCHOOL; LIFE_DOMAIN_LEARNING; LIFE_DOMAIN_COMMUNICATION"
"SIT062","Forgot someone's name","Forgot someone's name","Embarrassed","","","LIFE_DOMAIN_COMMUNICATION; LIFE_DOMAIN_FRIENDSHIP; LIFE_DOMAIN_LEARNING"
"SIT063","Called 'fat' or 'chubby' by a peer","A peer made a comment about your body","Not Good Enough","Embarrassed","","LIFE_DOMAIN_FRIENDSHIP; LIFE_DOMAIN_COMMUNICATION; LIFE_DOMAIN_PLAY"
"SIT064","New glasses and feeling 'nerdy' or 'ugly'","Feeling self-conscious about new glasses","Not Good Enough","Embarrassed","","LIFE_DOMAIN_SCHOOL; LIFE_DOMAIN_COMMUNICATION; LIFE_DOMAIN_FRIENDSHIP"
"SIT065","Getting acne or pimples (older kids)","Worried about a new pimple","Not Good Enough","","","LIFE_DOMAIN_FAMILY; LIFE_DOMAIN_COMMUNICATION; LIFE_DOMAIN_RESPONSIBILITY"
"SIT066","Being shortest or tallest in the class line","Standing out for being the shortest or tallest","Not Good Enough","Comparing Themselves to Others","","LIFE_DOMAIN_SCHOOL; LIFE_DOMAIN_PLAY; LIFE_DOMAIN_FRIENDSHIP"
"SIT067","Being slower at reading than others","Slower at reading than your classmates","Not Good Enough","","","LIFE_DOMAIN_LEARNING; LIFE_DOMAIN_SCHOOL; LIFE_DOMAIN_RESPONSIBILITY"
"SIT068","Picked last for a team","Picked last for a team","Not Good Enough","Sad","","LIFE_DOMAIN_PLAY; LIFE_DOMAIN_SCHOOL; LIFE_DOMAIN_LEARNING"
"SIT069","Their clothes aren't as 'cool' as others'","Your clothes don't feel as 'cool' as others'","Not Good Enough","Comparing Themselves to Others","","LIFE_DOMAIN_FRIENDSHIP; LIFE_DOMAIN_COMMUNICATION; LIFE_DOMAIN_CREATIVITY"
"SIT072","Project gets no likes or views","Your project got no likes or views","Not Good Enough","Sad","","LIFE_DOMAIN_CREATIVITY; LIFE_DOMAIN_COMMUNICATION; LIFE_DOMAIN_LEARNING"
"SIT073","Drawing doesn't look how they imagined","A drawing didn't turn out how you imagined","Frustrated","Not Good Enough","","LIFE_DOMAIN_CREATIVITY; LIFE_DOMAIN_LEARNING; LIFE_DOMAIN_BUILDING"
"SIT074","Reprimanded in front of friends or guests","Corrected in front of friends or guests","Embarrassed","","","LIFE_DOMAIN_COMMUNICATION; LIFE_DOMAIN_FAMILY; LIFE_DOMAIN_SCHOOL"
"SIT075","Forgot lines in a play","Forgot your lines in a play","Embarrassed","Nervous","","LIFE_DOMAIN_CREATIVITY; LIFE_DOMAIN_COMMUNICATION; LIFE_DOMAIN_LEARNING"
"SIT076","Told their work is 'messy' or unreadable","Told your work looked messy","Not Good Enough","","","LIFE_DOMAIN_LEARNING; LIFE_DOMAIN_CREATIVITY; LIFE_DOMAIN_RESPONSIBILITY"
"SIT077","Why can't you be more like [cousin/friend]?","Compared to a cousin or friend","Not Good Enough","Comparing Themselves to Others","","LIFE_DOMAIN_FAMILY; LIFE_DOMAIN_COMMUNICATION; LIFE_DOMAIN_LEARNING"
"SIT082","Best friend is playing with someone else","Your best friend is playing with someone else","Jealous","Left Out","","LIFE_DOMAIN_FRIENDSHIP; LIFE_DOMAIN_COMMUNICATION; LIFE_DOMAIN_PLAY"
"SIT083","Friend got a new toy","A friend got a new toy","Jealous","Comparing Themselves to Others","","LIFE_DOMAIN_FRIENDSHIP; LIFE_DOMAIN_FAMILY; LIFE_DOMAIN_COMMUNICATION"
"SIT084","Classmate won Student of the Month","A classmate won an award you wanted","Jealous","Disappointed","","LIFE_DOMAIN_SCHOOL; LIFE_DOMAIN_LEARNING; LIFE_DOMAIN_COMMUNICATION"
"SIT085","Someone else got to go first","Someone else got to go first","Frustrated","Jealous","","LIFE_DOMAIN_PLAY; LIFE_DOMAIN_RESPONSIBILITY; LIFE_DOMAIN_COMMUNICATION"
"SIT086","Parent on work call when child wants to share something","A parent was on a work call when you had news to share","Sad","Frustrated","","LIFE_DOMAIN_FAMILY; LIFE_DOMAIN_COMMUNICATION; LIFE_DOMAIN_RESPONSIBILITY"
"SIT087","At a party but wanting the birthday gifts","Wanted the birthday gifts at a friend's party","Jealous","","","LIFE_DOMAIN_CELEBRATIONS; LIFE_DOMAIN_FRIENDSHIP; LIFE_DOMAIN_COMMUNICATION"
"SIT088","Friend is naturally better at football","A friend is naturally better at a sport","Jealous","Comparing Themselves to Others","","LIFE_DOMAIN_PLAY; LIFE_DOMAIN_LEARNING; LIFE_DOMAIN_SELF_CARE"
"SIT089","New sibling gets all the attention and new things","A new baby is getting all the attention","Jealous","Left Out","","LIFE_DOMAIN_FAMILY; LIFE_DOMAIN_CARING; LIFE_DOMAIN_COMMUNICATION"
"SIT090","A classmate got the teacher's excited praise","A classmate got the teacher's praise instead","Jealous","Comparing Themselves to Others","","LIFE_DOMAIN_SCHOOL; LIFE_DOMAIN_COMMUNICATION; LIFE_DOMAIN_LEARNING"
"SIT091","Friend has more followers","A friend has more followers online","Jealous","Comparing Themselves to Others","","LIFE_DOMAIN_FRIENDSHIP; LIFE_DOMAIN_COMMUNICATION; LIFE_DOMAIN_LEARNING"
"SIT092","Friend went on a fancy international vacation","A friend went on a fancy vacation","Jealous","Comparing Themselves to Others","","LIFE_DOMAIN_FAMILY; LIFE_DOMAIN_FRIENDSHIP; LIFE_DOMAIN_COMMUNICATION"
"SIT093","Wishing they had someone else's hair","Wishing you had someone else's hair","Comparing Themselves to Others","Not Good Enough","","LIFE_DOMAIN_FAMILY; LIFE_DOMAIN_COMMUNICATION; LIFE_DOMAIN_SELF_CARE"
"SIT094","Wanting what's in a friend's lunchbox","Wanted what was in a friend's lunchbox","Jealous","","","LIFE_DOMAIN_FRIENDSHIP; LIFE_DOMAIN_FAMILY; LIFE_DOMAIN_COMMUNICATION"
"SIT095","Friend has a later bedtime","A friend has a later bedtime","Frustrated","Comparing Themselves to Others","","LIFE_DOMAIN_FAMILY; LIFE_DOMAIN_COMMUNICATION; LIFE_DOMAIN_LEARNING"
"SIT096","Wearing an older sibling's old clothes","Wearing an older sibling's old clothes","Not Good Enough","Comparing Themselves to Others","","LIFE_DOMAIN_FAMILY; LIFE_DOMAIN_SELF_CARE; LIFE_DOMAIN_COMMUNICATION"
"SIT097","Post-party or festival hyperactivity","Still full of energy after a big party","Overwhelmed","","","LIFE_DOMAIN_CELEBRATIONS; LIFE_DOMAIN_FAMILY; LIFE_DOMAIN_SELF_CARE"
"SIT098","Zoning out after too much YouTube or gaming","Can't focus after too much screen time","Overwhelmed","","","LIFE_DOMAIN_LEARNING; LIFE_DOMAIN_RESPONSIBILITY; LIFE_DOMAIN_FAMILY"
"SIT099","Noisy, overcrowded mall or festival environment","A noisy, crowded mall feels like too much","Overwhelmed","","","LIFE_DOMAIN_FAMILY; LIFE_DOMAIN_COMMUNICATION; LIFE_DOMAIN_SELF_CARE"
"SIT100","Too many classes — tuition, sport, music all in one day","Too many activities packed into one day","Overwhelmed","Tired or Cranky","","LIFE_DOMAIN_FAMILY; LIFE_DOMAIN_RESPONSIBILITY; LIFE_DOMAIN_LEARNING"
"SIT101","Long wait at doctor, bank, or during travel","A long wait with nothing to do","Bored","Frustrated","","LIFE_DOMAIN_FAMILY; LIFE_DOMAIN_RESPONSIBILITY; LIFE_DOMAIN_PLAY"
"SIT102","Stuck indoors on a rainy day with nothing to do","Stuck indoors on a rainy day","Bored","","","LIFE_DOMAIN_PLAY; LIFE_DOMAIN_CREATIVITY; LIFE_DOMAIN_BUILDING"
"SIT103","End of a long school week — brain feels full","Your brain feels full after a long school week","Overwhelmed","Tired or Cranky","","LIFE_DOMAIN_SCHOOL; LIFE_DOMAIN_FAMILY; LIFE_DOMAIN_LEARNING"
"SIT104","Cranky after a late night or bad sleep","Cranky after a bad night's sleep","Tired or Cranky","Frustrated","","LIFE_DOMAIN_FAMILY; LIFE_DOMAIN_RESPONSIBILITY; LIFE_DOMAIN_CARING"
"SIT105","Trying to do homework while TV is on","Trying to do homework with the TV on","Frustrated","","","LIFE_DOMAIN_LEARNING; LIFE_DOMAIN_RESPONSIBILITY; LIFE_DOMAIN_FAMILY"
"SIT106","Too many options for a toy or treat","Too many choices for one treat","Overwhelmed","","","LIFE_DOMAIN_LEARNING; LIFE_DOMAIN_RESPONSIBILITY; LIFE_DOMAIN_COMMUNICATION"
"SIT107","Pressure to always 'be good' and behave","Told to 'be good' before an important event","Worried","Overwhelmed","","LIFE_DOMAIN_FAMILY; LIFE_DOMAIN_COMMUNICATION; LIFE_DOMAIN_RESPONSIBILITY"
"SIT108","Waiting for a turn on the swings","Waiting a long time for a turn on the swings","Frustrated","Bored","","LIFE_DOMAIN_PLAY; LIFE_DOMAIN_FRIENDSHIP; LIFE_DOMAIN_RESPONSIBILITY"
"SIT109","Switching from a fun activity to homework","Had to stop playing to do homework","Frustrated","","","LIFE_DOMAIN_FAMILY; LIFE_DOMAIN_RESPONSIBILITY; LIFE_DOMAIN_LEARNING"
"SIT110","The 'before dinner' energy crash","Cranky and hungry before dinner","Tired or Cranky","","","LIFE_DOMAIN_FAMILY; LIFE_DOMAIN_CARING; LIFE_DOMAIN_RESPONSIBILITY"
"SIT111","Uncomfortable uniform, flickering lights, strong smells","Distracted by an uncomfortable classroom","Overwhelmed","Frustrated","","LIFE_DOMAIN_FAMILY; LIFE_DOMAIN_COMMUNICATION; LIFE_DOMAIN_LEARNING"
"SIT112","Waiting very excitedly for birthday or special package","Waiting excitedly for a birthday","Overwhelmed","","","LIFE_DOMAIN_CELEBRATIONS; LIFE_DOMAIN_FAMILY; LIFE_DOMAIN_RESPONSIBILITY"
"SIT113","Trying to learn a very hard new concept","Struggling to learn a hard new topic","Frustrated","Worried","","LIFE_DOMAIN_LEARNING; LIFE_DOMAIN_SCHOOL; LIFE_DOMAIN_COMMUNICATION"
"SIT114","Moving to a new home or city","Moving to a new home","Sad","Worried","","LIFE_DOMAIN_FAMILY; LIFE_DOMAIN_FRIENDSHIP; LIFE_DOMAIN_BUILDING"
"SIT115","Moving abroad (very relevant for NRI families)","Moving to a new country","Worried","Sad","","LIFE_DOMAIN_FAMILY; LIFE_DOMAIN_FRIENDSHIP; LIFE_DOMAIN_COMMUNICATION"
"SIT116","Parents separating or getting a divorce","Parents separating","Worried","Sad","","LIFE_DOMAIN_FAMILY; LIFE_DOMAIN_COMMUNICATION; LIFE_DOMAIN_CARING"
"SIT117","A parent starts a new job with different hours","A parent's new work schedule means less time together","Sad","Worried","","LIFE_DOMAIN_FAMILY; LIFE_DOMAIN_COMMUNICATION; LIFE_DOMAIN_RESPONSIBILITY"
"SIT118","Starting at a completely new school","Starting at a brand new school","Nervous","Unsure","","LIFE_DOMAIN_SCHOOL; LIFE_DOMAIN_FRIENDSHIP; LIFE_DOMAIN_COMMUNICATION"
"SIT119","Favourite teacher changes mid-year","Your favourite teacher is leaving","Sad","Worried","","LIFE_DOMAIN_SCHOOL; LIFE_DOMAIN_COMMUNICATION; LIFE_DOMAIN_CARING"
"SIT120","Sudden cancellation of a normal routine event","A regular activity was suddenly cancelled","Disappointed","","","LIFE_DOMAIN_FAMILY; LIFE_DOMAIN_LEARNING; LIFE_DOMAIN_RESPONSIBILITY"
"SIT121","Summer ending and school starting again","Summer ending and school starting again","Sad","Worried","","LIFE_DOMAIN_SCHOOL; LIFE_DOMAIN_FAMILY; LIFE_DOMAIN_FRIENDSHIP"
"SIT122","Noticing a new change in their body","Noticing a change in your body","Worried","Unsure","","LIFE_DOMAIN_FAMILY; LIFE_DOMAIN_LEARNING; LIFE_DOMAIN_COMMUNICATION"
"SIT123","Friend suddenly acting different or 'cooler'","A friend is suddenly acting different","Worried","Sad","","LIFE_DOMAIN_FRIENDSHIP; LIFE_DOMAIN_COMMUNICATION; LIFE_DOMAIN_LEARNING"
"SIT124","Game or app changes interface completely","A favourite app or game suddenly looks different","Frustrated","Unsure","","LIFE_DOMAIN_LEARNING; LIFE_DOMAIN_PLAY; LIFE_DOMAIN_RESPONSIBILITY"
"SIT125","New nanny or household helper joins family","A new helper joined the family","Unsure","","","LIFE_DOMAIN_FAMILY; LIFE_DOMAIN_CARING; LIFE_DOMAIN_COMMUNICATION"
"SIT126","News of an upcoming surgery or treatment","Hearing about an upcoming medical procedure","Worried","Scared","","LIFE_DOMAIN_FAMILY; LIFE_DOMAIN_CARING; LIFE_DOMAIN_COMMUNICATION"
"SIT127","Family having to cut back on treats or outings","The family is cutting back on treats for a while","Disappointed","Worried","","LIFE_DOMAIN_FAMILY; LIFE_DOMAIN_RESPONSIBILITY; LIFE_DOMAIN_LEARNING"
"SIT128","Waiting anxiously for exam results","Waiting anxiously for exam results","Worried","Nervous","","LIFE_DOMAIN_SCHOOL; LIFE_DOMAIN_LEARNING; LIFE_DOMAIN_RESPONSIBILITY"
"SIT129","First time staying overnight away from home","Staying overnight away from home for the first time","Nervous","Sad","","LIFE_DOMAIN_FAMILY; LIFE_DOMAIN_FRIENDSHIP; LIFE_DOMAIN_COMMUNICATION"
"SIT130","Stopping a favourite hobby or activity","A favourite hobby is coming to an end","Sad","","","LIFE_DOMAIN_CREATIVITY; LIFE_DOMAIN_PLAY; LIFE_DOMAIN_LEARNING"
"SIT131","Overheard adults talk about 'a big change coming'","Overheard grown-ups mention a big change coming","Worried","Unsure","","LIFE_DOMAIN_FAMILY; LIFE_DOMAIN_COMMUNICATION; LIFE_DOMAIN_LEARNING"
"SIT132","Told a lie to a parent and feels a 'heavy' stomach","Told a lie and feels bad about it","Guilty","","","LIFE_DOMAIN_COMMUNICATION; LIFE_DOMAIN_RESPONSIBILITY; LIFE_DOMAIN_FAMILY"
"SIT133","Tempted to steal something","Tempted to steal something","Torn Between Two Choices","Guilty","","LIFE_DOMAIN_FRIENDSHIP; LIFE_DOMAIN_COMMUNICATION; LIFE_DOMAIN_RESPONSIBILITY"
"SIT134","Watched someone get bullied and did nothing","Watched someone get bullied and didn't step in","Guilty","Scared","","LIFE_DOMAIN_CARING; LIFE_DOMAIN_COMMUNICATION; LIFE_DOMAIN_SCHOOL"
"SIT135","A mean kid got praised or rewarded","Someone unkind got praised instead","Confused About Right and Wrong","Angry","","LIFE_DOMAIN_COMMUNICATION; LIFE_DOMAIN_LEARNING; LIFE_DOMAIN_SCHOOL"
"SIT136","Wants to play but knows they should study","Wants to play instead of studying","Torn Between Two Choices","","","LIFE_DOMAIN_PLAY; LIFE_DOMAIN_LEARNING; LIFE_DOMAIN_RESPONSIBILITY"
"SIT137","Tempted to look at friend's paper during a test","Tempted to look at a friend's test answers","Torn Between Two Choices","Guilty","","LIFE_DOMAIN_SCHOOL; LIFE_DOMAIN_RESPONSIBILITY; LIFE_DOMAIN_COMMUNICATION"
"SIT138","Told a 'bad' secret they feel should be shared","Told a secret that feels too big to keep","Torn Between Two Choices","Worried","","LIFE_DOMAIN_COMMUNICATION; LIFE_DOMAIN_CARING; LIFE_DOMAIN_RESPONSIBILITY"
"SIT139","Broke something by mistake and hid it","Broke something and hid it","Guilty","","","LIFE_DOMAIN_RESPONSIBILITY; LIFE_DOMAIN_BUILDING; LIFE_DOMAIN_COMMUNICATION"
"SIT140","Realised some kids don't have food or shoes","Noticed another child doesn't have basic things","Confused About Right and Wrong","Sad","","LIFE_DOMAIN_CARING; LIFE_DOMAIN_FRIENDSHIP; LIFE_DOMAIN_FAMILY"
"SIT141","Saw a parent or teacher break a rule they enforce","Saw a grown-up break their own rule","Confused About Right and Wrong","","","LIFE_DOMAIN_COMMUNICATION; LIFE_DOMAIN_LEARNING; LIFE_DOMAIN_RESPONSIBILITY"
"SIT142","Someone online asked for their personal password","Someone online asked for your password","Unsure","Scared","","LIFE_DOMAIN_LEARNING; LIFE_DOMAIN_COMMUNICATION; LIFE_DOMAIN_RESPONSIBILITY"
"SIT143","Seeing someone litter","Saw someone litter","Confused About Right and Wrong","","","LIFE_DOMAIN_CARING; LIFE_DOMAIN_NATURE; LIFE_DOMAIN_COMMUNICATION"
"SIT144","Saw a stray animal being treated badly","Saw a stray animal being treated badly","Sad","Confused About Right and Wrong","","LIFE_DOMAIN_CARING; LIFE_DOMAIN_NATURE; LIFE_DOMAIN_COMMUNICATION"
"SIT145","Failed to keep a promise they made to a friend","Broke a promise to a friend","Guilty","Sad","","LIFE_DOMAIN_FRIENDSHIP; LIFE_DOMAIN_RESPONSIBILITY; LIFE_DOMAIN_COMMUNICATION"
"SIT146","Feels guilty for not including someone in play","Feels bad for leaving someone out of play","Guilty","","","LIFE_DOMAIN_FRIENDSHIP; LIFE_DOMAIN_PLAY; LIFE_DOMAIN_COMMUNICATION"
"SIT147","Friend said something mean about their culture or family","A friend said something hurtful about your culture","Not Good Enough","Angry","","LIFE_DOMAIN_COMMUNICATION; LIFE_DOMAIN_FRIENDSHIP; LIFE_DOMAIN_SCHOOL"
"SIT148","Found something and doesn't know whether to keep it","Found something that isn't yours","Torn Between Two Choices","","","LIFE_DOMAIN_RESPONSIBILITY; LIFE_DOMAIN_LEARNING; LIFE_DOMAIN_COMMUNICATION"
